new file \n Binary files / dev / null and b / art / intro . png differ \n,Added intro image .,repo70
server / src / test / java / io / druid / curator / CuratorTestBase . java \n + \n,build # 8,repo125
"portal - impl / src / com / liferay / portal / template / BaseTemplateManager . java \n - return new PACLTemplateWrapper ( accessControlContext , template ) ; \n + return new PrivilegedTemplateWrapper ( accessControlContext , template ) ; \n",LPS - 39254 update references,repo934
core / src / test / java / org / elasticsearch / common / io / stream / BytesStreamsTests . java \n - private static abstract class BaseNamedWriteable implements NamedWriteable { \n + private abstract static class BaseNamedWriteable implements NamedWriteable { \n,Fix modifier order in BytesStreamsTests,repo2
. gitignore \n + python / . idea \n,add pythong / .,repo448
build . gradle \n - classpath ' com . android . tools . build : gradle : 1 . 0 . 0 ' \n + classpath ' com . android . tools . build : gradle : 1 . 1 . 0 ' \n,Updated android gradle plugin version,repo158
old mode 100644 \n new mode 100755 \n Binary files a / core / res / res / raw / fallbackring . ogg and b / core / res / res / raw / fallbackring . ogg differ \n,Updated fallback sound for Honeycomb tablet,repo67
Binary files a / jme3 - bullet - native / libs / native / windows / x86 / bulletjme . dll and b / jme3 - bullet - native / libs / native / windows / x86 / bulletjme . dll differ \n Binary files a / jme3 - bullet - native / libs / native / windows / x86_64 / bulletjme . dll and b / jme3 - bullet - native / libs / native / windows / x86_64 / bulletjme . dll differ \n,update windows natives,repo728
doc / ReleaseNotes4 . 7 . txt \n - Fixed : BaseTestRunner . getTest ( ) requires class to extend TestCase ( 1812200 ) \n + - Fixed : Suite does not allow for inheritance in annotations ( 2783118 ) \n,Added note of fixed bug,repo63
deleted file \n Binary files a / out / production / atmosphere - bayeux . jar and / dev / null differ \n deleted file \n Binary files a / out / production / atmosphere - jersey . jar and / dev / null differ \n,Remove extra folder,repo210
new file \n Binary files / dev / null and b / engine / lib / niftygui / nifty - 1 . 3 - javadoc . jar differ \n,add niftygui javadoc,repo728
hystrix - core / src / test / java / com / netflix / hystrix / util / HystrixTimerTest . java \n + HystrixPlugins . reset ( ) ; \n,Added explicit HystrixPlugins . reset ( ) to HystrixTimerThread init of each test,repo35
modules / apps / deprecated / dictionary / dictionary - web / bnd . bnd \n - Bundle - Version : 1 . 0 . 0 \n + Bundle - Version : 1 . 0 . 1 \n,ignore dictionary - web 1 . 0 . 0 prep next,repo934
"grails - test - suite - uber / src / test / groovy / grails / util / PluginBuildSettingsTests . groovy \n - assertEquals 54 , nonUserScripts . size ( ) \n + assertEquals 55 , nonUserScripts . size ( ) \n",fix failing test,repo353
Binary files a / docs / Disruptor . docx and b / docs / Disruptor . docx differ \n,heading change,repo75
build . gradle \n - versionCode = 15030 \n - versionName = ' 17 - beta1 ' \n + versionCode = 15031 \n + versionName = ' 17 - beta2 ' \n,"Push version to 17 - beta2 , 15031 .",repo779
new file \n . gitattributes \n + * . java diff = java \n + \n,Added a .,repo984
modules / test / jenkins - results - parser / bnd . bnd \n - Bundle - Version : 1 . 0 . 61 \n + Bundle - Version : 1 . 0 . 62 \n,"LRQA - 27552 prep next , use latest",repo934
new file \n Binary files / dev / null and b / data / files / TestSerDe . jar differ \n,Added TestSerDe so that unit tests can run successfully .,repo799
"iphone / ZXingWidget / ZXingWidget . xcodeproj / project . pbxproj \n - GCC_VERSION = com . apple . compilers . llvm . clang . 1_0 ; \n + GCC_VERSION = "" "" ; \n",removed llvm dependency for device .,repo18
SpongeCommon \n - Subproject commit 66daf77dcecf844634b1e56c8c8b7c4586722cde \n + Subproject commit 361150a599fc0de15427170aa9a1ef951fd99447 \n,Bump common for BookView,repo995
trunk / JLanguageTool / src / rules / eo / verb - tr . txt \n + deklami \n + mensogi \n + preteksti \n,added few known transitive verbs .,repo989
deleted file \n META - INF / services / io . druid . initialization . DruidModule \n - io . druid . emitter . statsd . StatsDEmitterModule \n,Remove extraneous files introduced in # 2410 .,repo125
pom . xml \n - < version > 4 . 6 . 0RC3 - SNAPSHOT < / version > \n + < version > 4 . 6 . 0 < / version > \n,prepare release acra - 4 . 6 . 0,repo167
version . gradle \n - shortVersion = ' 4 . 2 . 0 - beta2 ' \n - isSnapshot = false \n + shortVersion = ' 4 . 2 . 0 - beta3 ' \n + isSnapshot = true \n,Smack 4 . 2 . 0 - beta3 - SNAPSHOT,repo796
"LICENSE \n - Copyright [ yyyy ] [ name of copyright owner ] \n + Copyright 2013 - present , Airbnb , Inc . \n",updating copyright field,repo373
release - notes / CREDITS \n - Here are people who have contributed to development Jackson JSON process \n + Here are people who have contributed to the development of Jackson JSON processor \n,fix a typo in credits,repo859
community / operations / monitoring . txt \n + \n + todo \n + \n,Can ' t have empty sections .,repo181
". travis . yml \n - TERM = dumb \n - - JAVA_OPTS = "" - Xmx384m - XX : + UseG1GC "" . / gradlew check \n + - JAVA_OPTS = "" - XX : + UseG1GC "" . / gradlew check \n - . / gradlew jacocoTestReport coveralls \n",Remove memory limit due to OOME,repo408
CHANGELOG . md \n + * STORM - 1198 : Web UI to show resource usages and Total Resources on all supervisors \n,Added STORM - 1198 to Changelog,repo137
src / net / java / sip / communicator / service / protocol / OperationSetServerStoredAccountInfo . java \n + extends OperationSet \n,OperationSetServerStoredAccountInfo extends OperationSet - fix provided by Adam Goldstein,repo794
"packages / TtsService / jni / android_tts_SynthProxy . cpp \n + mAudioOut - > setVolume ( 2 . 0f , 2 . 0f ) ; \n",Increase the volume of the AudioTrack instance used for the speech synthesis .,repo67
build . gradle \n - version = ' 6 . 0 - beta - 01 ' \n + version = ' 6 . 0 - SNAPSHOT ' \n,Set version to 6 . 0 - SNAPSHOT .,repo984
ui - designer / impl / com / intellij / uiDesigner / radComponents / RadFormLayoutManager . java \n + updateConstraints ( component ) ; \n,add missing updateConstraints ( ),repo145
. cvsignore \n + target \n,Ignore target directory,repo885
version . txt \n - 1 . 10 \n + 1 . 11 \n,Begin development of 1 . 11 .,repo109
build . gradle \n - def apktoolversion_major = ' 2 . 0 . 2 ' \n - def apktoolversion_minor = ' ' ; \n + def apktoolversion_major = ' 2 . 0 . 3 ' \n + def apktoolversion_minor = ' SNAPSHOT ' ; \n,start next dev cycle ( 2 . 0 . 3 - SNAPSHOT ),repo149
Android / SoftKeyboard / SoftKeyBoard . java \n - \n + \n,add isShowing function to Android SoftKeyBoard plugin,repo812
core / java / com / android / internal / widget / FloatingToolbar . java \n + setScrollIndicators ( View . SCROLL_INDICATOR_TOP | View . SCROLL_INDICATOR_BOTTOM ) ; \n,Include scroll indicators in overflow .,repo67
Binary files a / JOGLWrapper / release / modules / lib / windows - amd64 / gluegen - rt . dll and b / JOGLWrapper / release / modules / lib / windows - amd64 / gluegen - rt . dll differ \n,Fix gluegen dependency issue on 64bit JVM .,repo445
"Library / build . gradle \n - buildToolsVersion "" 21 . 1 . 2 "" \n + buildToolsVersion "" 22 . 0 . 1 "" \n",Using the latest buildtools version here too,repo971
"scripts / exopackage_test_single . sh \n - echo GREAT_SUCCESS \n + echo - e ' \ E [ 42 ; 37m ' "" \ 033 [ 1mGREAT_SUCCESS \ 033 [ 0m "" \n",Colorize the success message that the exopackage test script prints .,repo177
src / main / java / org / elasticsearch / cluster / ClusterChangedEvent . java \n - return false ; \n + return true ; \n,"Index Update Settings API does not update settings in real time , closes # 1807 .",repo2
"source / com / intellij / openapi / application / impl / ApplicationImpl . java \n - 60L , \n + 30 * 60L , \n",extra threads wait longer,repo145
new file \n Binary files / dev / null and b / gradle / wrapper / gradle - wrapper . jar differ \n,Add gradle wrapper jar,repo691
res / values - hu / arrays . xml \n + < item > screen - 256color < / item > \n,Updated arrays . xml .,repo617
"common / buildcraft / energy / BlockEngine . java \n + setBlockName ( "" engineBlock "" ) ; \n",Engines should have a block name,repo1000
"py / testdir_single_jvm / test_GLM2_basic . py \n - h2o . build_cloud ( 1 , java_heap_GB = 10 ) \n + h2o . build_cloud ( 1 , java_heap_GB = 10 , base_port = 54333 ) \n",don ' t use 54321 in the jenkins test,repo316
"d2j - smali / build . gradle \n - maxHeapSize = "" 64m "" \n",remove maxHeapSize,repo283
Binary files a / images / buttonsusage . png and b / images / buttonsusage . png differ \n,resized buttonsusage . png,repo567
new file \n Binary files / dev / null and b / shell / src / universal / doc / images / heart . png differ \n,add heart . png,repo205
platform / platform - impl / src / com / intellij / ide / ui / laf / darcula / darcula_linux . properties \n + ButtonUI = com . intellij . ide . ui . laf . borders . DarculaButtonUI \n,add button ui to unix,repo145
new file \n,LPS - 65521 Ignore SF for now,repo934
enterprise / pom . xml \n - < phase > generate - sources < / phase > \n + < phase > compile < / phase > \n,attaching javascript compression to the compile phase,repo181
core / java / android / provider / ContactsContract . java \n + intent . setFlags ( Intent . FLAG_ACTIVITY_CLEAR_WHEN_TASK_RESET ) ; \n,Adds Intent . FLAG_ACTIVITY_CLEAR_WHEN_TASK_RESET to launch fasttrack intent .,UNKNOWN
. reviewboardrc \n - REPOSITORY = ' databus2 ' \n + REPOSITORY = ' databus ' \n,update repo name,repo704
new file \n acra / . gitignore \n + . classpath \n + . project \n + . settings \n + target \n new file \n examples / CrashReport / . gitignore \n + bin \n + gen \n,ignore properties ),repo167
pom . xml \n - < version > 2 . 1 . 1 < / version > \n + < version > 3 . 0 - beta - 3 < / version > \n,Upgraded maven - site - plugin to 3 . 0 - beta3 .,repo885
packaging / standalone / src / main / distribution / shell - scripts / bin / neo4j \n + rm - f $ JAVASTATUSFILE \n,"Removes the status file after it has done its duty , namely telling the script to stop wait for startup .",repo181
gradle . properties \n - nettyVersion = 4 . 0 . 16 . Final \n + nettyVersion = 4 . 0 . 17 . Final \n,Use netty - 4 . 0 . 17 .,repo64
app / models / message . rb \n - def time \n - Time . at ( self . created_at ) rescue nil \n - end \n - \n,Remove another unused method .,repo266
. travis . yml \n - openjdk6 \n - openjdk7 \n - oraclejdk7 \n - - openjdk8 \n - oraclejdk8 \n,Travis does not support a JDK named ' openjdk8 ',repo928
"sample / build . gradle \n - versionCode 6 \n - versionName "" 1 . 5 "" \n + versionCode 7 \n + versionName "" 1 . 6 "" \n",Updated Google Play version,repo720
community / server / pom . xml \n - < scope > runtime < / scope > \n,Uses shell at compile time,repo181
src / main / java / com / zaxxer / hikari / HikariPool . java \n - \n + \n,Remove blank line,repo845
"subprojects / code - quality / code - quality . gradle \n - compile "" org . codenarc : CodeNarc : 0 . 12 @ jar "" \n + compile "" org . codenarc : CodeNarc : 0 . 13 @ jar "" \n",updated the Code - Quality codenarc dependency to version 0 . 13 of CodeNarc .,repo109
s3 / pom . xml \n + \n,modified pom,repo604
providers / netty / pom . xml \n - < version > 3 . 6 . 3 . Final < / version > \n + < version > 3 . 6 . 5 . Final < / version > \n,Upgrade Netty 3 . 6 . 5,repo171
deleted file \n lib / README \n - This is the wordnik swagger core project . \n deleted file \n lib / ext / README \n - This is the wordnik swagger core project . \n,removed lib folder,repo133
transport / src / main / java / io / netty / channel / socket / nio / SelectorUtil . java \n + \n,add empty line,repo27
Binary files a / Malmo / samples / Python_examples / Tutorial . odt and b / Malmo / samples / Python_examples / Tutorial . odt differ \n Binary files a / Malmo / samples / Python_examples / Tutorial . pdf and b / Malmo / samples / Python_examples / Tutorial . pdf differ \n,updated pitch after inversion .,repo325
src / jvm / clojure / lang / LazilyPersistentVector . java \n - return array ; \n + return array . clone ( ) ; \n,"fixed lpv toArray , patch from Chouser",repo55
src / main / java / com / zaxxer / hikari / HikariPool . java \n + statement . setQueryTimeout ( ( int ) TimeUnit . MILLISECONDS . toSeconds ( timeoutMs ) ) ; \n,Added query timeout to test query .,repo155
pom . xml \n - < version > 1 . 7 . 21 < / version > \n + < version > 1 . 7 . 22 < / version > \n,update slf4j - simple to 1 . 7 . 22,repo611
junit / src / test / java / cucumber / junit / JUnitReporterTest . java \n - / * * \n - * @ author Klaus Bayrhammer \n - * / \n,Removed unnecessary javadoc in Tests,repo598
Binary files a / gdx / dist / gdx - 0 . 6 - sources . jar and b / gdx / dist / gdx - 0 . 6 - sources . jar differ \n,gdx - 0 . 6 - sources . jar had a little more than just sources . . .,repo21
src / asciidoc / core - aop . adoc \n - - - - \n - void sampleGenericCollectionMethod ( Collection > T > param ) ; \n + void sampleGenericCollectionMethod ( Collection < T > param ) ; \n - - - - \n,Fix typo,repo293
. gitignore \n + ShowCaseViewLibrary / build / \n + / ShowCaseViewLibrary / build / \n,Ignore files,repo212
modules / apps / shopping / shopping - web / bnd . bnd \n - Bundle - Version : 1 . 0 . 4 \n + Bundle - Version : 1 . 0 . 5 \n,ignore shopping - web 1 . 0 . 4 prep next,repo934
CHANGELOG \n + MAHOUT - 1496 : Create a website describing the distributed ALS recommender ( Jian Wang via ssc ) \n + \n,MAHOUT - 1496 Create a website describing the distributed ALS recommender,repo958
src / core / Tags . java \n + } catch ( NoSuchUniqueId e ) { \n + throw e ; \n,Fix a bug in the Tags . resolveIds ( ) method where the NoSuchUniqueId,repo292
"README . md \n - You can checkout spark from https : / / github . com / apache / spark and then run "" sbt / sbt publish - local "" \n - On debian you can install with sudo apt - get install protobuf - compiler \n + * R & the CRAN package Imap are required for the ChapterSixExample \n",Mention the chapter six example dependency on R and Imap,repo676
"deleted file \n packaging / tools / ha - ops / with - chef / chef / cookbooks / neo4j / roles / ha - data . rb \n - name "" ha - data "" \n - description "" High Availability data node "" \n - run_list "" recipe [ neo4j : : ha ] "" \n - \n - \n","removed roles from neo4j recipe , since they can not be part of a recipe",repo181
CHANGES . md \n + * VIM - 511 Fixed editing offset after ` < BS > ` for ` . ` command \n,Updated CHANGES,repo288
pom . xml \n - < version > 0 . 0 . 2 < / version > \n + < version > 0 . 0 . 3 < / version > \n,Upgrade whassup,repo857
core / java / android / preference / PreferenceFragment . java \n + mPreferenceManager . setOnPreferenceTreeClickListener ( null ) ; \n,Remove the OnItemClick listener when the fragment is destroyed .,repo67
pom . xml \n - < version > 1 . 0 . 6 < / version > \n + < version > 1 . 0 . 7 - SNAPSHOT < / version > \n,prepare for next development iteration,repo611
grails - async / src / test / groovy / grails / async / SynchronousPromiseFactorySpec . groovy \n - Promises . promiseFactory = new ReactorPromiseFactory ( ) \n + Promises . promiseFactory = null \n,fix failing tests,repo353
"build . sbt \n - version in GlobalScope : = "" 0 . 2 . 0 "" \n + version in GlobalScope : = "" 0 . 2 . 0 - SNAPSHOT "" \n",add - SNAPSHOT back after 0 . 2 . 0 release,repo290
build / scripts / libLicenses . gant \n - def libWithLicenses = licensesList . collectAll { it . libraryNames } . flatten ( ) as Set \n + def libWithLicenses = licensesList . collect { it . libraryNames } . flatten ( ) as Set \n,remove deprecated collectAll usage from libLicenses . gant,repo145
"java / openapi / src / com / intellij / psi / JavaTokenType . java \n - END_OF_LINE_COMMENT , C_STYLE_COMMENT , DOC_COMMENT \n + END_OF_LINE_COMMENT , C_STYLE_COMMENT , DOC_COMMENT , JavaDocTokenType . DOC_COMMENT_DATA \n",javadoc comments should behave as simple java comments,repo145
new file \n Binary files / dev / null and b / screenshots / icons_plain1 . jpg differ \n new file \n Binary files / dev / null and b / screenshots / icons_plain2 . jpg differ \n,added plain icon screenshots,repo285
pom . xml \n - < version > 1 . 1 . 2 - SNAPSHOT < / version > \n + < version > 1 . 1 . 2 < / version > \n,prepare release HikariCP - 1 . 1 . 2,repo155
community / pom . xml \n - < version > 2 < / version > \n + < version > 3 < / version > \n,Updating all components to use version 3 of the parent pom .,repo181
"scripts / Upgrade . groovy \n + event ( "" StatusUpdate "" , [ "" Please make sure you view the README for important information about changes to your source code . "" ] ) \n + \n",Added notification to look at README after upgrade,repo353
Binary files a / lib / portal / portal - client . jar and b / lib / portal / portal - client . jar differ \n Binary files a / portal - client / portal - client . jar and b / portal - client / portal - client . jar differ \n,Regenerate WSDL,repo934
pom . xml \n - < version > 1 . 2 . 8 < / version > \n + < version > 1 . 2 . 9 - SNAPSHOT < / version > \n,prepare for next development iteration,repo144
"bin / common . sh \n + # Text encoding for \n + # read / write job into files , \n + # receiving / displaying query / result . \n",ZEPPELIN - 112 add comment for encoding,repo341
modules / apps / iframe / iframe - web / bnd . bnd \n - Require - SchemaVersion : 1 . 0 . 0 \n,LPS - 61288 Don ' t include the header Require - SchemaVersion in web modules .,repo934
"src / main / java / org / acra / ErrorReporter . java \n - . message ( "" Uncaught exception "" ) \n",Remove backwards incompatible change introduced by # 210,repo167
modcluster / src / main / resources / org / jboss / as / modcluster / LocalDescriptions . properties \n + modcluster . list - proxies = Read the list of httpd contected to the nodes . \n,Add missing description .,repo411
src / jvm / clojure / lang / PersistentStructMap . java \n - final public class PersistentStructMap extends APersistentMap { \n + public class PersistentStructMap extends APersistentMap { \n,made PersistentStructMap non - final again,repo55
rename from portlets / sample - jsf - sun - portlet . war / WEB - INF / src / com / sample / samplejsfmyfacesportlet / bean / UserBean . java \n rename to portlets / sample - jsf - sun - portlet . war / WEB - INF / src / com / sample / samplejsfsunportlet / bean / UserBean . java \n,Move dir,repo934
"CHANGES . txt \n - Fill Down \n - Blank Down \n - Transpose Cells in Columns into Rows \n + - Transpose Cells in Rows into Columns ( Issue 82 ) \n - Move Column to Beginning , Move Column to End , Move Column Left , Move Column Right \n - GEL : \n - JSON support \n",Updated change list,repo110
new file \n python - embedded / CHANGES . txt \n + 1 . 6 . M02 ( 2011 - 12 - 16 ) \n + - - - - - - - - - - - - - - - - - - - - \n + o Fix for broken cypher tests \n + o Added get and set methods to nodes and relationships \n,Added changelog .,repo46
CHANGELOG . md \n + # # 0 . 11 . 0 \n + * STORM - 1126 : Allow a configMethod that takes no arguments ( Flux ) \n,add STORM - 1126 to changelog,repo137
manual / README . asciidoc \n - sudo apt - get install asciidoc docbook fop graphviz w3m maven libxml2 - utils \n + sudo apt - get install asciidoc docbook fop graphviz w3m maven libxml2 - utils xsltproc \n,adding xsltproc,repo181
. gitignore \n - deps \n + deps \n + / bin \n,ignore bin directory,repo938
src / main / resources / com / tagtraum / perf / gcviewer / localStrings_de . properties \n - action_zoom_hint = Dient zum Verg \ u00F6ern und Verkleinern \n + action_zoom_hint = Dient zum Vergr \ u00F6ssern und Verkleinern \n,corrected typo,repo550
Binary files a / lib / development / com . liferay . ant . bnd . jar and b / lib / development / com . liferay . ant . bnd . jar differ \n,LPS - 69899 update jar,repo934
ProKey / LinkBubblePro / build . gradle \n - def versionMajor = 1 \n - def versionMinor = 0 \n + def versionMajor = 0 \n + def versionMinor = 9 \n,Downgrade ProKey version number,repo875
. travis . yml \n - oraclejdk8 \n - email : false \n + email : false \n + install : \n + - \n,Updated Travis to support building ( skips desktop unit tests ),repo724
spring - boot - autoconfigure / pom . xml \n - < version > $ { tomcat . version } < / version > \n,Drop unneeded version tag from POM . xml,repo30
grails - web / src / main / groovy / org / codehaus / groovy / grails / web / context / ServletContextHolder . java \n - @ Override \n,Removing @ Override from interface method impl,repo353
modules / test / poshi - runner / bnd . bnd \n - Bundle - Version : 1 . 0 . 43 \n + Bundle - Version : 1 . 0 . 44 \n,"LRQA - 26247 prep next , use latest",repo934
Binary files a / portal - web / third - party / alloy - 1 . 0 . 1 . zip and b / portal - web / third - party / alloy - 1 . 0 . 1 . zip differ \n,Updating Alloy to rev . 82366 ; LPS - 16457,repo934
fml \n - Subproject commit cad11f3165505e6d725411a9fc2c2ee8362f5827 \n + Subproject commit 5365f5ea3e90ec85552bdb7f1f1237c51b4ea493 \n,MinecraftForge / FML @ 63b64482e6dd4c3e2226ec002ceee549045c35ed Add jsr305 dev - time dependancy for Nullable / Nonnull annotations .,repo488
iPhone / CalendarPlugin / README \n - / / \n + / / Michael Brooks \n,updated collab list,repo812
Binary files a / portal - impl / src / com / liferay / portal / deploy / dependencies / plugins1 / marketplace - portlet - 7 . 0 . 0 . 1 . war and b / portal - impl / src / com / liferay / portal / deploy / dependencies / plugins1 / marketplace - portlet - 7 . 0 . 0 . 1 . war differ \n,LPS - 50156 update default MP,repo934
"CHANGES . txt \n - Move Column to Beginning , Move Column to End , Move Column Left , Move Column Right \n - GEL : \n - JSON support \n - - New functions : smartSplit , escape , parseJson , hasField \n + - New functions : smartSplit , escape , parseJson , hasField , uniques \n - New controls : forEachIndex , forRange , filter \n - New parameters : \n - preserveAllTokens on split function \n",Updated change list,repo110
new file \n Binary files / dev / null and b / OsmAnd / jni / libcutils . so differ \n,Add libcutils,repo960
core / src / processing / core / PApplet . java \n - System . exit ( 0 ) ; \n + applet . exit ( ) ; \n,Use PApplet . exit ( ) instead of System . exit ( 0 ) for present mode stop button,repo185
"webapps / docs / changelog . xml \n - < / subsection > "" \n + < / subsection > \n","Remove random """,repo763
build . gradle \n - classpath ' com . android . tools . build : gradle : 2 . 0 . 0 - alpha1 ' \n + classpath ' com . android . tools . build : gradle : 2 . 0 . 0 - alpha2 ' \n,updated dependencies,repo164
rename from libs / jackrabbit - webdav - 2 . 6 . 4 . jar \n rename to libs / jackrabbit - webdav - 2 . 6 . 3 . jar \n Binary files a / libs / jackrabbit - webdav - 2 . 6 . 4 . jar and b / libs / jackrabbit - webdav - 2 . 6 . 3 . jar differ \n,"Revert "" update to 2 . 6 . 4 ( latest stable version ) """,repo364
"portal - web / docroot / html / portlet / asset_category_admin / edit_vocabulary_settings . jspf \n - < % @ page \n - import = "" com . liferay . portlet . asset . util . AssetVocabularySettingsHelper "" % > \n",LPS - 22792 Removed silly import,repo934
hibernate - core / hibernate - core . gradle \n - provided ( libraries . jacc ) { \n - transitive = false \n - } \n + provided ( libraries . jacc ) \n,removed transitive = false for dependency,repo320
v7 / appcompat / build . gradle \n + compileOptions { \n + sourceCompatibility JavaVersion . VERSION_1_7 \n + targetCompatibility JavaVersion . VERSION_1_7 \n + } \n + \n,Compile appcompat with Java 7,repo954
core / java / android / view / ViewConfiguration . java \n - * @ deprecated \n + * @ deprecated This timeout should not be used by applications \n,Fix build due to @ deprecated tag not having content,repo67
jme3 - core / src / main / resources / Common / ShaderLib / GLSLCompat . glsllib \n - # define texture2DLod texture \n + # define texture2DLod textureLod \n + # define textureCubeLod textureLod \n,fixed Lod functions overload in GLSLCompat lib,repo728
. gitignore \n + \n + # Mac \n + . DS_Store \n + \n + # Eclipse \n + . classpath \n + . project \n + . settings \n + \n + # IntelliJ \n + * . iml \n,Ignore OSX and IDE files,repo699
new file \n . travis . yml \n + language : java \n + \n + branches : \n + only : \n + - master \n + - 3 . 5 . x \n,Added travis . yaml file to enable Travis CI .,repo379
new file \n Binary files / dev / null and b / pulltorefresh / res / drawable - hdpi / ic_refresh_white . png differ \n,Added white refresh icon,repo230
Binary files a / portal - web / third - party / alloy - 1 . 0 . 1 . zip and b / portal - web / third - party / alloy - 1 . 0 . 1 . zip differ \n,Updating Alloy to 49afebf ; LPS - 24021,repo934
"demo / res / layout / activity_demo . xml \n - android : layout_height = "" 200dp "" \n + android : layout_height = "" match_parent "" \n",revert back the height in the activity demo,repo62
build . gradle \n - versionCode = 15022 \n - versionName = ' 16 . 0 . 1 ' \n + versionCode = 15030 \n + versionName = ' 17 - beta1 ' \n,"Push version to 17 - beta1 , 15030 .",repo779
metrics - spring / src / main / java / com / yammer / metrics / spring / ExceptionMeteredMethodInterceptor . java \n - ReflectionUtils . rethrowException ( t ) ; \n - return null ; \n + throw t ; \n,"rethrowException ` wraps ` Throwable ` s in ` UndeclaredThrowableException ` ,",repo87
rename from actors / extensions / memcached / src / test / java / com / ea / orbit / actors / extensions / memcached / MemcachedPersistenceTest2 . java \n rename to actors / extensions / memcached / src / test / java / com / ea / orbit / actors / extensions / memcached / MemcachedPersistenceTest . java \n,Fix case .,repo906
"src / com / owncloud / android / files / FileOperationsHelper . java \n - Log_OC . e ( TAG , "" KeepInSync "" ) ; \n",remove a log,repo364
"deleted file \n res / values / keys . xml \n - < ? xml version = "" 1 . 0 "" encoding = "" utf - 8 "" ? > \n - < resources > \n - < string name = "" com_github_jberkel_payme_public_key "" > MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCNglCUwSijU3RAODpyYfZLYxwF / OveAxYgVKWYlJDf8KBhO3T81BrQHDVACmaLpBfS + uL7RrIb9PMk8RNewE8EAOLNXANnqbbV + 8U54K7GX2NwFMIBZ4tV52G6yEhWkKx / + JMLdhM5U8FutaFCdmdkDrz3IVGB5HD8c1mmopcqcQIDAQAB < / string > \n - < / resources > \n - \n",Remove unused key,repo857
"actor - server / version . sbt \n - version in ThisBuild : = "" 1 . 0 . 90 "" \n + version in ThisBuild : = "" 1 . 0 . 91 - SNAPSHOT "" \n",setting version to 1 . 0 . 91 - SNAPSHOT,repo194
ideas . mss \n + \n + Process + / - volume control differently . Options : \n + - - increase / decrease font size ? \n + - - page up / down \n,added a few ideas about + / - buttons,repo737
curator - client / src / main / java / com / netflix / curator / SessionFailRetryLoop . java \n - * / / do worK \n + * / / do work \n,Fixed typo in doc,repo533
build . gradle \n - httpComponentVersion = ' 4 . 3 . 2 ' \n + httpComponentVersion = ' 4 . 3 . 4 ' \n,upgraded http client to 4 . 3 . 4,repo552
Binary files a / previews / rippleFoundDevice . gif and b / previews / rippleFoundDevice . gif differ \n Binary files a / previews / rippleSimple . gif and b / previews / rippleSimple . gif differ \n,update gif previews,repo710
src / antlr4 / __init__ . py \n + from antlr4 . InputStream import InputStream \n,missing import,repo109
"Library / AndroidManifest . xml \n - android : minSdkVersion = "" 7 "" \n + android : minSdkVersion = "" 9 "" \n",Require API 9 + due to MotionEvent . PointerCoords ( ) .,repo627
src / main / cpp / blaze_globals . h \n - / / populated during GetInstallDir ( ) . \n + / / populated during GetInstallBase ( ) . \n,fix the name of the function where | extracted_binaries | is populated,UNKNOWN
accumulo - store / pom . xml \n - accumulo - store - iterators - $ { project . parent . version } \n + accumulo - store - $ { project . parent . version } - iterators \n,gh - 454 - Updated accumulo - store POM to ensure the resulting shaded JAR has the correct name .,repo690
deleted file \n Binary files a / RippleView / libs / android - support - v4 . jar and / dev / null differ \n deleted file \n Binary files a / RippleViewExample / libs / android - support - v4 . jar and / dev / null differ \n,remove unnecessary library jar,repo911
CHANGELOG . md \n + * STORM - 1279 : port backtype . storm . daemon . supervisor to java \n,Added STORM - 1279 to Changelog,repo137
"moco - doc / ReleaseNotes . md \n + * Enhance socket server implementation with byte buf , rather than string \n",documented socket handler enhancement,repo552
bundles / config / pom . xml \n + < module > core < / module > \n,Introduce a single main configuration file,repo180
community / . gitignore \n + server / rrd \n,added the RRD data file to gitignore,repo181
deleted file \n Binary files a / tpc / lib / fastjson - 1 . 2 . 10 . jar and / dev / null differ \n,remove tpc / lib / fastjson - 1 . 2 . 10 .,repo505
py / testdir_release / c3 / test_c3_rel . py \n + h2o . beta_features = True \n,was missing beta_features = True,repo316
CHANGELOG . md \n + * STORM - 1484 : ignore subproject . classpath & . project file \n,Added STORM - 1484 to Changelog,repo137
CHANGELOG . md \n + * FIX full trakt sync did not correctly download unwatched and uncollected episodes . \n,Amend changelog for 13 - beta4 .,repo779
"src / java / voldemort / client / protocol / admin / AdminClient . java \n - logger . info ( nodeName + "" : "" + status ) ; \n",Removed a duplicate log in AdminClient . waitForCompletion,repo387
Binary files a / h2o - docs / src / product / tutorials / images / GainsLift . png and b / h2o - docs / src / product / tutorials / images / GainsLift . png differ \n Binary files a / h2o - docs / src / product / tutorials / images / GainsLiftTable . png and b / h2o - docs / src / product / tutorials / images / GainsLiftTable . png differ \n,Updated Gains / Lift screenshots with new images from Nidhi,repo597
"test . properties \n + portal - acceptance , \ \n",LPS - 45755 - Add ' portal - acceptance ' component,repo934
webapps / docs / images / docs - stylesheet . css \n + th { \n + text - align : left ; \n + } \n + \n,Ensure < th > elements have the same text - align property on every browser .,repo763
hazelcast / pom . xml \n - < description > Core Hazelcast Module < / description > \n + < description > Core Hazelcast Module . < / description > \n,Added description to project,repo394
docs / sql / index . txt \n - rest \n + kill \n - kill \n + rest \n,move sql reference and rest documentation at end of ( sub - ) TOC,repo588
